Nodes
ID,Title,X,Y,Z,Type
69,Horizontal Bar 69 - Shaft 4,27,25,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
70,Horizontal Bar 70 - Shaft 4,22,23,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
71,Horizontal Bar 71 - Shaft 4,23,24,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
72,Horizontal Bar 72 - Shaft 4,24,22,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
73,Leg 73 - Shaft 5,25,28,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
74,Leg 74 - Shaft 5,26,29,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
75,Leg 75 - Shaft 5,27,30,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
76,Leg 76 - Shaft 5,28,31,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
77,Leg 77 - Shaft 5,29,32,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
78,Leg 78 - Shaft 5,30,33,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
79,Diagonal Bar 79 - Shaft 5,25,29,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
80,Diagonal Bar 80 - Shaft 5,26,30,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
81,Diagonal Bar 81 - Shaft 5,27,28,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
82,Diagonal Bar 82 - Shaft 5,29,31,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
83,Diagonal Bar 83 - Shaft 5,30,32,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
84,Diagonal Bar 84 - Shaft 5,28,33,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
85,Horizontal Bar 85 - Shaft 5,31,32,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
86,Horizontal Bar 86 - Shaft 5,32,33,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
87,Horizontal Bar 87 - Shaft 5,33,31,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
88,Horizontal Bar 88 - Shaft 5,28,29,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
89,Horizontal Bar 89 - Shaft 5,29,30,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
90,Horizontal Bar 90 - Shaft 5,30,28,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
91,Leg 91 - Shaft 6,31,34,Leg,pipe,Ø 88.9x3.2,S235,0,0,Alternating Diagonal,yes,yes
92,Leg 92 - Shaft 6,32,35,Leg,pipe,Ø 88.9x3.2,S235,0,0,Alternating Diagonal,yes,yes
93,Leg 93 - Shaft 6,33,36,Leg,pipe,Ø 88.9x3.2,S235,0,0,Alternating Diagonal,yes,yes
94,Diagonal Bar 94 - Shaft 6,31,35,Diagonal Bar,pipe,Ø 88.9x6.3,S235,Yes,0,Alternating Diagonal,yes,yes
95,Diagonal Bar 95 - Shaft 6,32,36,Diagonal Bar,pipe,Ø 88.9x6.3,S235,Yes,0,Alternating Diagonal,yes,yes
96,Diagonal Bar 96 - Shaft 6,33,34,Diagonal Bar,pipe,Ø 88.9x6.3,S235,Yes,0,Alternating Diagonal,yes,yes
97,Horizontal Bar 97 - Shaft 6,34,35,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
98,Horizontal Bar 98 - Shaft 6,35,36,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
99,Horizontal Bar 99 - Shaft 6,36,34,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes

Diag_Hor_Connection
Id_Lig,Id_Ele,Is_Welded,NBolts,Bolt_Diameter,Type_of_Steel_Bolt,Type_of_Steel_of_the_Plate,e1,e2,p1,p2,Thickness_of_the_Plate
