Nodes,,,,,,,,,,,,,
ID,Title,X,Y,Z,Type,,,,,,,,
67,Diagonal Bar 67 - Shaft 3,23,25,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
68,Diagonal Bar 68 - Shaft 3,24,26,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
69,Diagonal Bar 69 - Shaft 3,22,27,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
70,Diagonal Bar 70 - Shaft 3,25,29,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
71,Diagonal Bar 71 - Shaft 3,26,30,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
72,Diagonal Bar 72 - Shaft 3,27,28,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
73,Horizontal Bar 73 - Shaft 3,28,29,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
74,Horizontal Bar 74 - Shaft 3,29,30,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
75,Horizontal Bar 75 - Shaft 3,30,28,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
76,Horizontal Bar 76 - Shaft 3,22,23,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
77,Horizontal Bar 77 - Shaft 3,23,24,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
78,Horizontal Bar 78 - Shaft 3,24,22,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
79,Horizontal Bar 79 - Shaft 3,25,26,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
80,Horizontal Bar 80 - Shaft 3,26,27,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
81,Horizontal Bar 81 - Shaft 3,27,25,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
82,Leg 82 - Shaft 4,28,31,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
83,Leg 83 - Shaft 4,29,32,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
84,Leg 84 - Shaft 4,30,33,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
85,Diagonal Bar 85 - Shaft 4,29,31,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
86,Diagonal Bar 86 - Shaft 4,30,32,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
87,Diagonal Bar 87 - Shaft 4,28,33,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
88,Horizontal Bar 88 - Shaft 4,31,32,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
89,Horizontal Bar 89 - Shaft 4,32,33,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
90,Horizontal Bar 90 - Shaft 4,33,31,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
