Nodes
ID,Title,X,Y,Z,Type
74,Diagonal Bar 74 - Shaft 4,31,34,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
75,Diagonal Bar 75 - Shaft 4,32,35,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
76,Diagonal Bar 76 - Shaft 4,29,36,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
77,Horizontal Bar 77 - Shaft 4,33,34,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
78,Horizontal Bar 78 - Shaft 4,34,35,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
79,Horizontal Bar 79 - Shaft 4,35,36,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
80,Horizontal Bar 80 - Shaft 4,36,33,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
81,Leg 81 - Shaft 5,33,37,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
82,Leg 82 - Shaft 5,34,38,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
83,Leg 83 - Shaft 5,35,39,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
84,Leg 84 - Shaft 5,36,40,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
85,Leg 85 - Shaft 5,37,41,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
86,Leg 86 - Shaft 5,38,42,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
87,Leg 87 - Shaft 5,39,43,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
88,Leg 88 - Shaft 5,40,44,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
89,Diagonal Bar 89 - Shaft 5,33,38,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
90,Diagonal Bar 90 - Shaft 5,34,39,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
91,Diagonal Bar 91 - Shaft 5,35,40,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
92,Diagonal Bar 92 - Shaft 5,36,37,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
93,Diagonal Bar 93 - Shaft 5,38,41,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
94,Diagonal Bar 94 - Shaft 5,39,42,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
95,Diagonal Bar 95 - Shaft 5,40,43,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
96,Diagonal Bar 96 - Shaft 5,37,44,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
97,Horizontal Bar 97 - Shaft 5,41,42,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
98,Horizontal Bar 98 - Shaft 5,42,43,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
99,Horizontal Bar 99 - Shaft 5,43,44,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
100,Horizontal Bar 100 - Shaft 5,44,41,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
101,Leg 101 - Shaft 6,41,45,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
102,Leg 102 - Shaft 6,42,46,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
103,Leg 103 - Shaft 6,43,47,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
104,Leg 104 - Shaft 6,44,48,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
105,Leg 105 - Shaft 6,45,49,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
106,Leg 106 - Shaft 6,46,50,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
107,Leg 107 - Shaft 6,47,51,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
108,Leg 108 - Shaft 6,48,52,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
109,Diagonal Bar 109 - Shaft 6,41,46,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
110,Diagonal Bar 110 - Shaft 6,42,47,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
111,Diagonal Bar 111 - Shaft 6,43,48,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
112,Diagonal Bar 112 - Shaft 6,44,45,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
113,Diagonal Bar 113 - Shaft 6,46,49,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
114,Diagonal Bar 114 - Shaft 6,47,50,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
115,Diagonal Bar 115 - Shaft 6,48,51,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
116,Diagonal Bar 116 - Shaft 6,45,52,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
117,Horizontal Bar 117 - Shaft 6,49,50,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
118,Horizontal Bar 118 - Shaft 6,50,51,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
119,Horizontal Bar 119 - Shaft 6,51,52,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
120,Horizontal Bar 120 - Shaft 6,52,49,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
121,Leg 121 - Shaft 7,49,53,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
122,Leg 122 - Shaft 7,50,54,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
123,Leg 123 - Shaft 7,51,55,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
124,Leg 124 - Shaft 7,52,56,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
125,Leg 125 - Shaft 7,53,57,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
126,Leg 126 - Shaft 7,54,58,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
127,Leg 127 - Shaft 7,55,59,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
128,Leg 128 - Shaft 7,56,60,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
129,Diagonal Bar 129 - Shaft 7,49,54,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
130,Diagonal Bar 130 - Shaft 7,50,55,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
131,Diagonal Bar 131 - Shaft 7,51,56,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
132,Diagonal Bar 132 - Shaft 7,52,53,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
133,Diagonal Bar 133 - Shaft 7,54,57,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
134,Diagonal Bar 134 - Shaft 7,55,58,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
135,Diagonal Bar 135 - Shaft 7,56,59,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
136,Diagonal Bar 136 - Shaft 7,53,60,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
137,Horizontal Bar 137 - Shaft 7,57,58,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
138,Horizontal Bar 138 - Shaft 7,58,59,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
139,Horizontal Bar 139 - Shaft 7,59,60,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
140,Horizontal Bar 140 - Shaft 7,60,57,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
141,Leg 141 - Shaft 8,57,61,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
142,Leg 142 - Shaft 8,58,62,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
143,Leg 143 - Shaft 8,59,63,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
144,Leg 144 - Shaft 8,60,64,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
145,Leg 145 - Shaft 8,61,65,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
146,Leg 146 - Shaft 8,62,66,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
147,Leg 147 - Shaft 8,63,67,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
148,Leg 148 - Shaft 8,64,68,Leg,angle,L90x90x9,S235,0,0,Alternating Diagonal,yes,no
149,Diagonal Bar 149 - Shaft 8,57,62,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
150,Diagonal Bar 150 - Shaft 8,58,63,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
151,Diagonal Bar 151 - Shaft 8,59,64,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
152,Diagonal Bar 152 - Shaft 8,60,61,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
153,Diagonal Bar 153 - Shaft 8,62,65,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
154,Diagonal Bar 154 - Shaft 8,63,66,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
155,Diagonal Bar 155 - Shaft 8,64,67,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
156,Diagonal Bar 156 - Shaft 8,61,68,Diagonal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,no
157,Horizontal Bar 157 - Shaft 8,65,66,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
158,Horizontal Bar 158 - Shaft 8,66,67,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
159,Horizontal Bar 159 - Shaft 8,67,68,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no
160,Horizontal Bar 160 - Shaft 8,68,65,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,no

Diag_Hor_Connection
Id_Lig,Id_Ele,Is_Welded,NBolts,Bolt_Diameter,Type_of_Steel_Bolt,Type_of_Steel_of_the_Plate,e1,e2,p1,p2,Thickness_of_the_Plate
1,9,No,2,M16,8.8,S235,25,30,40,0,12
2,10,No,2,M16,8.8,S235,25,30,40,0,12
3,11,No,2,M16,8.8,S235,25,30,40,0,12
4,12,No,2,M16,8.8,S235,25,30,40,0,12
5,13,No,2,M16,8.8,S235,25,30,40,0,12
6,14,No,2,M16,8.8,S235,25,30,40,0,12
7,15,No,2,M16,8.8,S235,25,30,40,0,12
8,16,No,2,M16,8.8,S235,25,30,40,0,12
9,17,No,1,M16,8.8,S235,25,40,0,0,12
10,18,No,1,M16,8.8,S235,25,40,0,0,12
11,19,No,1,M16,8.8,S235,25,40,0,0,12
12,20,No,1,M16,8.8,S235,25,40,0,0,12
13,29,No,2,M16,8.8,S235,25,30,40,0,12
14,30,No,2,M16,8.8,S235,25,30,40,0,12
