Nodes
ID,Title,X,Y,Z,Type
40,Diagonal Bar 40 - Shaft 2,7,22,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
41,Diagonal Bar 41 - Shaft 2,22,17,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
42,Diagonal Bar 42 - Shaft 2,8,22,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
43,Diagonal Bar 43 - Shaft 2,22,16,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
44,Diagonal Bar 44 - Shaft 2,8,23,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
45,Diagonal Bar 45 - Shaft 2,23,18,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
46,Diagonal Bar 46 - Shaft 2,9,23,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
47,Diagonal Bar 47 - Shaft 2,23,17,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
48,Diagonal Bar 48 - Shaft 2,9,24,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
49,Diagonal Bar 49 - Shaft 2,24,16,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
50,Diagonal Bar 50 - Shaft 2,7,24,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
51,Diagonal Bar 51 - Shaft 2,24,18,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
52,Diagonal Bar 52 - Shaft 2,16,25,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
53,Diagonal Bar 53 - Shaft 2,25,20,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
54,Diagonal Bar 54 - Shaft 2,17,25,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
55,Diagonal Bar 55 - Shaft 2,25,19,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
56,Diagonal Bar 56 - Shaft 2,17,26,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
57,Diagonal Bar 57 - Shaft 2,26,21,Diagonal Bar,angle,L63x63x5,S235,No,1,X-Bracing,yes,no
