Nodes
ID,Title,X,Y,Z,Type
79,Leg 79 - Shaft 3,31,35,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
80,Leg 80 - Shaft 3,32,36,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
81,Leg 81 - Shaft 3,33,37,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
82,Leg 82 - Shaft 3,34,38,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
83,Leg 83 - Shaft 3,35,39,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
84,Leg 84 - Shaft 3,36,40,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
85,Diagonal Bar 85 - Shaft 3,25,30,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
86,Diagonal Bar 86 - Shaft 3,26,31,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
87,Diagonal Bar 87 - Shaft 3,27,32,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
88,Diagonal Bar 88 - Shaft 3,28,29,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
89,Diagonal Bar 89 - Shaft 3,30,33,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
90,Diagonal Bar 90 - Shaft 3,31,34,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
91,Diagonal Bar 91 - Shaft 3,32,35,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
92,Diagonal Bar 92 - Shaft 3,29,36,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
93,Diagonal Bar 93 - Shaft 3,33,38,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
94,Diagonal Bar 94 - Shaft 3,34,39,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
95,Diagonal Bar 95 - Shaft 3,35,40,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
96,Diagonal Bar 96 - Shaft 3,36,37,Diagonal Bar,pipe,Ø 76.1x3.2,S275,No,1,Alternating Diagonal,yes,yes
97,Horizontal Bar 97 - Shaft 3,37,38,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
98,Horizontal Bar 98 - Shaft 3,38,39,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
99,Horizontal Bar 99 - Shaft 3,39,40,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
100,Horizontal Bar 100 - Shaft 3,40,37,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
101,Horizontal Bar 101 - Shaft 3,29,30,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
